sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,0.0012316306,12.970562,-0.42082658,-0.0055916565,0,0,-0.42082655,0.024408346,0.0181
1,0.0021387138,13.874791,-0.38561776,-0.0057634288,0.008060335,-3.1662847E-05,-0.79838395,0.048613254,0.0323
2,0.0038725135,15.547572,-0.32351795,-0.006089007,0.013873677,-6.2889856E-05,-1.1080283,0.07246136,0.041
3,0.0062281885,17.687891,-0.24741189,-0.0065268637,0.016753184,-9.513544E-05,-1.338687,0.09583936,0.0438
4,0.008821884,19.80073,-0.17089207,-0.007002413,0.01702105,-0.0001302661,-1.492558,0.11870669,0.0415
5,0.011158586,21.293436,-0.10425283,-0.007409349,0.015615704,-0.00016918902,-1.5811951,0.14112815,0.0357
6,0.012782613,21.684547,-0.053400446,-0.0076274634,0.0135944355,-0.00021150075,-1.6210011,0.16328919,0.028
7,0.013399521,20.66234,-0.017676612,-0.0075671687,0.011809458,-0.00025432484,-1.6268682,0.18546769,0.0283
8,0.012900828,18.466272,-0.0010813371,-0.008109878,0.010778187,-0.00029597778,-1.6171714,0.20706184,0.0295
9,0.011344452,15.247749,0.0003083887,-0.008373377,0.010846421,-0.00032112165,-1.6060166,0.22836734,0.0317
10,0.008905331,11.998416,0.029558778,-0.008198512,0.012152272,-0.00032852739,-1.5643055,0.2498403,0.0304
11,0.00588417,10.461379,0.09468032,-0.0075993836,0.014189717,-0.00032488027,-1.4554355,0.27191603,0.0327
12,0.002732873,9.874007,0.15782617,-0.0066785463,0.01599234,-0.00032696465,-1.281617,0.29491052,0.0317
13,-0.00011414289,9.803083,0.21577846,-0.0055992347,0.016512005,-0.00035189907,-1.0493265,0.3189594,0.0274
14,-0.0023858745,9.67214,0.2627463,-0.0048469873,0.014784562,-0.00041307896,-0.7717957,0.34369934,0.0201
15,-0.003932913,9.652369,0.29300782,-0.004222477,0.010901095,-0.00050945044,-0.46788678,0.3689674,0.0176
16,-0.004707078,9.767677,0.30240723,-0.003737031,0.005639012,-0.00063419394,-0.15984055,0.3945962,0.0171
17,-0.004722774,9.990816,0.28922424,-0.003447199,0.00013429472,-0.000769978,0.129518,0.420379,0.0191
18,-0.0040489435,10.242711,0.2554759,-0.0033594675,-0.0045158276,-0.00090113917,0.38047805,0.4461184,0.0212
19,-0.0028305252,10.413037,0.20606624,-0.0034218037,-0.0075867325,-0.0010104746,0.57895756,0.47168612,0.0209
20,-0.0013000766,11.850406,0.14749338,-0.0035452244,-0.008883844,-0.0010936754,0.7175671,0.49704722,0.0206
21,0.00022818644,12.97605,0.08983374,-0.0038100423,-0.008595184,-0.0011536622,0.79880565,0.5220835,0.0204
22,0.0014326969,13.073069,0.041013863,-0.0041860123,-0.007202172,-0.0011959175,0.83261734,0.5467016,0.0223
23,0.002123614,11.993842,0.0070745745,-0.0043678074,-0.005321613,-0.0012255395,0.8343703,0.5711083,0.0231
24,0.002321899,10.540129,-8.7612316E-05,-0.0042548343,-0.0035309417,-0.0012499619,0.8307517,0.59560347,0.0232
25,0.0022147098,9.526537,-0.004758645,-0.0039294627,-0.002518525,-0.0012737676,0.8234746,0.62040025,0.0224
26,0.0018672148,7.8877616,-0.009026257,-0.0034101382,-0.0028316805,-0.0012988151,0.81161666,0.6456913,0.0225
27,0.001250108,7.0328903,-0.013948877,-0.0031650853,-0.004317617,-0.0013330713,0.79335016,0.6711931,0.0244
28,0.0002562006,7.3485823,-0.053779095,-0.0030411805,-0.0061153783,-0.0013688206,0.73345566,0.6967831,0.0258
29,-0.0010414917,7.922208,-0.091485664,-0.0030203627,-0.007511315,-0.0014167128,0.63445866,0.72234607,0.0247
30,-0.0024658442,7.885593,-0.1223449,-0.003158324,-0.008224017,-0.0014805773,0.5038898,0.7477071,0.0211
31,-0.0038148959,7.4618425,-0.14506547,-0.0032603857,-0.008001766,-0.0015642733,0.35082254,0.7728825,0.0157
32,-0.004922052,6.877397,-0.1583495,-0.0034681917,-0.006757233,-0.0016744273,0.18571581,0.79773986,0.0127
33,-0.0056849914,6.307502,-0.16125515,-0.0041054725,-0.0046488363,-0.0018123392,0.019811813,0.82182205,0.0126
34,-0.006064474,5.9691267,-0.15332401,-0.0049775103,-0.0020540252,-0.0019598037,-0.13556622,0.84488475,0.0137
35,-0.0060820575,5.568625,-0.13536026,-0.0060035763,0.00047805422,-0.0020919393,-0.27044842,0.8667892,0.0149
36,-0.005784233,5.1577535,-0.10911888,-0.0070589744,0.0026017353,-0.0021903957,-0.37696555,0.88753986,0.0147
37,-0.0052429237,4.871302,-0.07712734,-0.007994059,0.0040693865,-0.0022436085,-0.4500235,0.9073022,0.0156
38,-0.004564126,4.5601177,-0.042350676,-0.008663856,0.0047404263,-0.002249587,-0.48763376,0.92638874,0.016
39,-0.0038680432,4.657427,-0.0072336956,-0.008978457,0.0046815085,-0.002219525,-0.49018595,0.9451908,0.0161
40,-0.0032744803,5.43188,0.006992817,-0.008754668,0.004035352,-0.0021730454,-0.47915778,0.9642631,0.0155
41,-0.0028355916,5.953819,0.012057302,-0.008202866,0.0032255126,-0.002139274,-0.46387497,0.98392093,0.0146
42,-0.0025507808,5.918753,0.016461832,-0.0075193713,0.0024910448,-0.0021301291,-0.4449221,1.0042714,0.0154
43,-0.0023885567,5.74347,0.020223452,-0.0068252864,0.0019285344,-0.002148809,-0.4227701,1.0252973,0.0156
44,-0.0023206074,6.0561805,0.037345972,-0.0060869064,0.0017106837,-0.0021908078,-0.38371345,1.0470196,0.0151
45,-0.0023117661,6.5452676,0.055045325,-0.0055134105,0.0017828228,-0.0022556193,-0.3268853,1.0692506,0.0147
