sample,relativeDensityError,localPressure,CFL
0,0,0,0.0305
1,0,0,0.0304
2,0,0,0.0303
3,0,0,0.0303
4,0,0,0.0302
5,0,0,0.0301
6,0,0,0.0301
7,0,0,0.03
8,0,0,0.0299
9,0,0,0.0299
10,0,0,0.0298
11,0,0,0.0297
12,0,0,0.0297
13,0,0,0.0296
14,0,0,0.0295
15,0,0,0.0294
16,0,0,0.0294
17,0,0,0.0293
18,0,0,0.0292
19,0,0,0.0292
20,0,0,0.0291
21,0,0,0.029
22,0,0,0.029
23,0,0,0.0289
24,0,0,0.0288
25,0,0,0.0288
26,0,0,0.0287
27,0,0,0.0286
28,0,0,0.0286
29,0,0,0.0285
30,0,0,0.0284
31,0,0,0.0284
32,0,0,0.0283
33,0,0,0.0282
34,0,0,0.0282
35,0,0,0.0281
36,0,0,0.028
37,0,0,0.028
38,0,0,0.0279
39,0,0,0.0278
40,0,0,0.0277
41,0,0,0.0277
42,0,0,0.0276
43,0,0,0.0275
44,0,0,0.0275
45,0,0,0.0274
46,0,0,0.0273
47,0,0,0.0273
48,0,0,0.0272
49,0,0,0.0271
50,0,0,0.0271
51,0,0,0.027
52,0,0,0.0269
53,0,0,0.0269
54,0,0,0.0268
55,0,0,0.0267
56,0,0,0.0267
57,0,0,0.0266
58,0,0,0.0265
59,0,0,0.0265
60,0,0,0.0264
61,0,0,0.0263
62,0,0,0.0263
63,0,0,0.0262
64,0,0,0.0261
65,0,0,0.026
66,0,0,0.026
67,0,0,0.0259
68,0,0,0.0258
69,0,0,0.0258
70,0,0,0.0257
71,0,0,0.0256
72,0,0,0.0256
73,0,0,0.0255
74,0,0,0.0254
75,0,0,0.0254
76,0,0,0.0253
77,0,0,0.0252
78,0,0,0.0252
79,0,0,0.0251
80,0,0,0.025
81,0,0,0.025
82,0,0,0.0249
83,0,0,0.0248
84,0,0,0.0248
85,0,0,0.0247
86,0,0,0.0246
87,0,0,0.0246
88,0,0,0.0245
89,0,0,0.0244
90,0,0,0.0244
91,0,0,0.0243
92,0,0,0.0242
