sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
0,17168,11.8928,515,1140,IISPH,5,2500,46,0.03,0.003012247,0.005211325,Extrapolation,10,1,1,1
1,17201,6.3298,516,1140,IISPH,5,2500,25,0.03,0.0029867908,0.005148791,Extrapolation,10,1,1,1
2,17234,15.8318,517,1140,IISPH,5,2500,45,0.03,0.0029918596,0.005658489,Extrapolation,10,1,1,1
3,17268,10.7245,518,1140,IISPH,5,2500,29,0.03,0.0029812143,0.006146558,Extrapolation,10,1,1,1
4,17301,8.6112,519,1140,IISPH,5,2500,24,0.03,0.0029728154,0.0053891903,Extrapolation,10,1,1,1
5,17334,6.1728,520,1140,IISPH,5,2500,19,0.03,0.0029403716,0.005584548,Extrapolation,10,1,1,1
6,17368,10.3231,521,1140,IISPH,5,2500,29,0.03,0.0029540309,0.0054456727,Extrapolation,10,1,1,1
7,17401,9.0222,522,1140,IISPH,5,2500,31,0.03,0.002970298,0.0050219884,Extrapolation,10,1,1,1
8,17434,8.1261,523,1140,IISPH,5,2500,28,0.03,0.002942539,0.0053255907,Extrapolation,10,1,1,1
9,17467,8.5853,524,1140,IISPH,5,2500,27,0.03,0.0029519764,0.004969609,Extrapolation,10,1,1,1
10,17501,7.8665,525,1140,IISPH,5,2500,25,0.03,0.0029277394,0.005476999,Extrapolation,10,1,1,1
11,17534,8.4249,526,1140,IISPH,5,2500,30,0.03,0.0029466595,0.005044791,Extrapolation,10,1,1,1
12,17567,9.7391,527,1140,IISPH,5,2500,39,0.03,0.0029478108,0.0050044167,Extrapolation,10,1,1,1
13,17601,7.9674,528,1140,IISPH,5,2500,25,0.03,0.0029370415,0.0046774815,Extrapolation,10,1,1,1
14,17634,5.8202,529,1140,IISPH,5,2500,25,0.03,0.0029180762,0.0039861356,Extrapolation,10,1,1,1
15,17667,7.7518,530,1140,IISPH,5,2500,28,0.03,0.00293729,0.0046446663,Extrapolation,10,1,1,1
16,17701,4.1621,531,1140,IISPH,5,2500,13,0.03,0.0028994046,0.0036696065,Extrapolation,10,1,1,1
17,17734,15.1379,532,1140,IISPH,5,2500,67,0.03,0.0029429002,0.004143501,Extrapolation,10,1,1,1
18,17767,4.8729,533,1140,IISPH,5,2500,18,0.03,0.0029385653,0.005293894,Extrapolation,10,1,1,1
19,17800,7.4071,534,1140,IISPH,5,2500,28,0.03,0.002917444,0.0042625484,Extrapolation,10,1,1,1
20,17834,5.4631,535,1140,IISPH,5,2500,21,0.03,0.0029904824,0.0053583756,Extrapolation,10,1,1,1
21,17867,4.034,536,1140,IISPH,5,2500,12,0.03,0.0029155363,0.004421826,Extrapolation,10,1,1,1
22,17900,14.2032,537,1140,IISPH,5,2500,59,0.03,0.0031388619,0.008847807,Extrapolation,10,1,1,1
23,17934,5.5797,538,1140,IISPH,5,2500,23,0.03,0.0030320138,0.006206552,Extrapolation,10,1,1,1
24,17967,4.0853,539,1140,IISPH,5,2500,13,0.03,0.0029577676,0.005091367,Extrapolation,10,1,1,1
25,18000,4.2846,540,1140,IISPH,5,2500,15,0.03,0.002956526,0.0072908103,Extrapolation,10,1,1,1
26,18034,6.59,541,1140,IISPH,5,2500,24,0.03,0.002984285,0.0050254064,Extrapolation,10,1,1,1
27,18067,7.9578,542,1140,IISPH,5,2500,34,0.03,0.0030355132,0.005913512,Extrapolation,10,1,1,1
28,18100,6.3035,543,1140,IISPH,5,2500,24,0.03,0.0029775794,0.005855836,Extrapolation,10,1,1,1
29,18133,6.7628,544,1140,IISPH,5,2500,25,0.03,0.0029775454,0.005327887,Extrapolation,10,1,1,1
30,18167,11.8746,545,1140,IISPH,5,2500,50,0.03,0.003010452,0.005767149,Extrapolation,10,1,1,1
31,18200,6.7006,546,1140,IISPH,5,2500,26,0.03,0.0029845783,0.0064274296,Extrapolation,10,1,1,1
32,18233,8.7266,547,1140,IISPH,5,2500,34,0.03,0.0029877506,0.0065546725,Extrapolation,10,1,1,1
33,18267,4.2064,548,1140,IISPH,5,2500,14,0.03,0.0029389265,0.003779425,Extrapolation,10,1,1,1
34,18300,10.5097,549,1140,IISPH,5,2500,45,0.03,0.002981237,0.005052927,Extrapolation,10,1,1,1
35,18333,5.4367,550,1140,IISPH,5,2500,22,0.03,0.0029944784,0.0056012385,Extrapolation,10,1,1,1
36,18367,11.7428,551,1140,IISPH,5,2500,51,0.03,0.0029902228,0.005331471,Extrapolation,10,1,1,1
37,18400,6.6688,552,1140,IISPH,5,2500,25,0.03,0.0030183995,0.005613602,Extrapolation,10,1,1,1
38,18433,3.4947,553,1140,IISPH,5,2500,9,0.03,0.002924127,0.0048220027,Extrapolation,10,1,1,1
39,18466,4.4663,554,1140,IISPH,5,2500,13,0.03,0.0029310018,0.004607031,Extrapolation,10,1,1,1
40,18500,7.3338,555,1140,IISPH,5,2500,24,0.03,0.0029751635,0.0046512005,Extrapolation,10,1,1,1
41,18533,8.4344,556,1140,IISPH,5,2500,37,0.03,0.0030350166,0.0061029335,Extrapolation,10,1,1,1
42,18566,8.7585,557,1140,IISPH,5,2500,34,0.03,0.0029799724,0.0058908598,Extrapolation,10,1,1,1
43,18600,10.2098,558,1140,IISPH,5,2500,43,0.03,0.0030603032,0.0061404514,Extrapolation,10,1,1,1
44,18633,6.3716,559,1140,IISPH,5,2500,25,0.03,0.0029681984,0.0042032027,Extrapolation,10,1,1,1
45,18666,5.831,560,1140,IISPH,5,2500,22,0.03,0.0029670468,0.0040431856,Extrapolation,10,1,1,1
46,18700,7.5916,561,1140,IISPH,5,2500,28,0.03,0.0029595061,0.0044336724,Extrapolation,10,1,1,1
47,18733,5.2669,562,1140,IISPH,5,2500,19,0.03,0.0029400217,0.004895073,Extrapolation,10,1,1,1
48,18766,5.8624,563,1140,IISPH,5,2500,24,0.03,0.0029350433,0.004557808,Extrapolation,10,1,1,1
49,18799,9.8842,564,1140,IISPH,5,2500,40,0.03,0.0029936205,0.0044984426,Extrapolation,10,1,1,1
50,18833,6.586,565,1140,IISPH,5,2500,22,0.03,0.002929128,0.0044620526,Extrapolation,10,1,1,1
51,18866,13.1527,566,1140,IISPH,5,2500,53,0.03,0.002978279,0.0053310585,Extrapolation,10,1,1,1
52,18899,7.0827,567,1140,IISPH,5,2500,28,0.03,0.0029550695,0.0046741012,Extrapolation,10,1,1,1
53,18933,5.5604,568,1140,IISPH,5,2500,17,0.03,0.0029271184,0.004548721,Extrapolation,10,1,1,1
54,18966,10.4912,569,1140,IISPH,5,2500,28,0.03,0.0029394007,0.0042786608,Extrapolation,10,1,1,1
55,18999,7.2227,570,1140,IISPH,5,2500,25,0.03,0.0029325257,0.0040650386,Extrapolation,10,1,1,1
56,19033,8.5324,571,1140,IISPH,5,2500,37,0.03,0.0029484204,0.0042318758,Extrapolation,10,1,1,1
57,19066,8.0426,572,1140,IISPH,5,2500,31,0.03,0.0029302004,0.005215835,Extrapolation,10,1,1,1
58,19099,7.0947,573,1140,IISPH,5,2500,27,0.03,0.00293335,0.0039633974,Extrapolation,10,1,1,1
59,19132,5.6001,574,1140,IISPH,5,2500,21,0.03,0.0029088194,0.0040542814,Extrapolation,10,1,1,1
60,19166,7.2287,575,1140,IISPH,5,2500,31,0.03,0.0029336773,0.0042145923,Extrapolation,10,1,1,1
61,19199,11.1822,576,1140,IISPH,5,2500,46,0.03,0.0029344223,0.0038705915,Extrapolation,10,1,1,1
62,19232,4.8367,577,1140,IISPH,5,2500,16,0.03,0.002912161,0.0036860919,Extrapolation,10,1,1,1
63,19266,10.8006,578,1140,IISPH,5,2500,46,0.03,0.0029200858,0.0037242966,Extrapolation,10,1,1,1
64,19299,4.7934,579,1140,IISPH,5,2500,17,0.03,0.0029474269,0.004782429,Extrapolation,10,1,1,1
65,19332,4.2923,580,1140,IISPH,5,2500,11,0.03,0.0028943473,0.0033941776,Extrapolation,10,1,1,1
66,19366,10.3557,581,1140,IISPH,5,2500,43,0.03,0.0029547648,0.0040041963,Extrapolation,10,1,1,1
67,19399,9.51,582,1140,IISPH,5,2500,39,0.03,0.003005124,0.005622916,Extrapolation,10,1,1,1
68,19432,4.7248,583,1140,IISPH,5,2500,18,0.03,0.0029390394,0.0037439475,Extrapolation,10,1,1,1
69,19465,4.7325,584,1140,IISPH,5,2500,16,0.03,0.0029092934,0.0039423965,Extrapolation,10,1,1,1
70,19499,7.3394,585,1140,IISPH,5,2500,29,0.03,0.0029438145,0.004725534,Extrapolation,10,1,1,1
71,19532,5.6504,586,1140,IISPH,5,2500,20,0.03,0.0029443225,0.0050682784,Extrapolation,10,1,1,1
72,19565,11.483,587,1140,IISPH,5,2500,49,0.03,0.002971585,0.005930646,Extrapolation,10,1,1,1
73,19599,5.4445,588,1140,IISPH,5,2500,21,0.03,0.0029368605,0.005138381,Extrapolation,10,1,1,1
74,19632,10.4168,589,1140,IISPH,5,2500,43,0.03,0.0029543245,0.0059207124,Extrapolation,10,1,1,1
75,19665,6.2847,590,1140,IISPH,5,2500,25,0.03,0.002952428,0.004326074,Extrapolation,10,1,1,1
76,19699,4.9489,591,1140,IISPH,5,2500,16,0.03,0.002915751,0.005830388,Extrapolation,10,1,1,1
77,19732,6.3153,592,1140,IISPH,5,2500,24,0.03,0.0029237657,0.005385167,Extrapolation,10,1,1,1
78,19765,11.1722,593,1140,IISPH,5,2500,47,0.03,0.0029616058,0.0042266278,Extrapolation,10,1,1,1
79,19798,6.2699,594,1140,IISPH,5,2500,23,0.03,0.0029384298,0.007096167,Extrapolation,10,1,1,1
80,19832,5.0886,595,1140,IISPH,5,2500,14,0.03,0.0029063246,0.0030111598,Extrapolation,10,1,1,1
81,19865,6.5231,596,1140,IISPH,5,2500,24,0.03,0.002907397,0.004329348,Extrapolation,10,1,1,1
82,19898,12.1324,597,1140,IISPH,5,2500,49,0.03,0.0030012066,0.004631533,Extrapolation,10,1,1,1
83,19932,7.3816,598,1140,IISPH,5,2500,29,0.03,0.0029475512,0.004629618,Extrapolation,10,1,1,1
84,19965,4.6655,599,1140,IISPH,5,2500,15,0.03,0.0029215193,0.004212509,Extrapolation,10,1,1,1
85,19998,8.0489,600,1140,IISPH,5,2500,30,0.03,0.0029101968,0.0033414562,Extrapolation,10,1,1,1
86,20032,7.0719,601,1140,IISPH,5,2500,26,0.03,0.0029615492,0.004401885,Extrapolation,10,1,1,1
87,20065,5.8204,602,1140,IISPH,5,2500,23,0.03,0.0029337562,0.003915942,Extrapolation,10,1,1,1
88,20098,9.4293,603,1140,IISPH,5,2500,40,0.03,0.002991961,0.0043066745,Extrapolation,10,1,1,1
89,20131,5.6756,604,1140,IISPH,5,2500,19,0.03,0.0029259557,0.0043992717,Extrapolation,10,1,1,1
90,20165,6.7847,605,1140,IISPH,5,2500,26,0.03,0.0029419067,0.004280383,Extrapolation,10,1,1,1
91,20198,9.3113,606,1140,IISPH,5,2500,37,0.03,0.0029559273,0.0048494255,Extrapolation,10,1,1,1
92,20231,4.8644,607,1140,IISPH,5,2500,18,0.03,0.0029407553,0.0040458576,Extrapolation,10,1,1,1
93,20265,9.5069,608,1140,IISPH,5,2500,33,0.03,0.0029195438,0.0037599988,Extrapolation,10,1,1,1
94,20298,10.3157,609,1140,IISPH,5,2500,43,0.03,0.0030386287,0.0055359714,Extrapolation,10,1,1,1
95,20331,4.3897,610,1140,IISPH,5,2500,13,0.03,0.0029296698,0.0040980116,Extrapolation,10,1,1,1
96,20365,5.773,611,1140,IISPH,5,2500,22,0.03,0.0029362964,0.0057897824,Extrapolation,10,1,1,1
97,20398,3.7226,612,1140,IISPH,5,2500,10,0.03,0.0029188327,0.005154795,Extrapolation,10,1,1,1
98,20431,7.113,613,1140,IISPH,5,2500,28,0.03,0.002921429,0.0038054304,Extrapolation,10,1,1,1
99,20464,12.6202,614,1140,IISPH,5,2500,49,0.03,0.00301858,0.004973418,Extrapolation,10,1,1,1
100,20498,5.1557,615,1140,IISPH,5,2500,20,0.03,0.0029526763,0.005582912,Extrapolation,10,1,1,1
101,20531,9.4624,616,1140,IISPH,5,2500,38,0.03,0.0029626668,0.004708456,Extrapolation,10,1,1,1
102,20564,6.8133,617,1140,IISPH,5,2500,27,0.03,0.0029623057,0.004838785,Extrapolation,10,1,1,1
103,20598,5.9482,618,1140,IISPH,5,2500,21,0.03,0.0029313404,0.004016802,Extrapolation,10,1,1,1
104,20631,5.6597,619,1140,IISPH,5,2500,21,0.03,0.0029229755,0.0035611747,Extrapolation,10,1,1,1
105,20664,6.4438,620,1140,IISPH,5,2500,23,0.03,0.0029320177,0.004044518,Extrapolation,10,1,1,1
106,20698,9.1797,621,1140,IISPH,5,2500,35,0.03,0.0029423132,0.0043973946,Extrapolation,10,1,1,1
107,20731,10.0762,622,1140,IISPH,5,2500,42,0.03,0.0029699593,0.004492882,Extrapolation,10,1,1,1
108,20764,6.8536,623,1140,IISPH,5,2500,19,0.03,0.002920955,0.004328151,Extrapolation,10,1,1,1
109,20797,6.7426,624,1140,IISPH,5,2500,25,0.03,0.0029232465,0.0036224555,Extrapolation,10,1,1,1
110,20831,11.0741,625,1140,IISPH,5,2500,48,0.03,0.002932447,0.0037524085,Extrapolation,10,1,1,1
111,20864,6.1623,626,1140,IISPH,5,2500,21,0.03,0.0029326726,0.0042371945,Extrapolation,10,1,1,1
112,20897,5.354,627,1140,IISPH,5,2500,18,0.03,0.0029087404,0.0036028104,Extrapolation,10,1,1,1
113,20931,7.6039,628,1140,IISPH,5,2500,31,0.03,0.0029224674,0.0030543339,Extrapolation,10,1,1,1
114,20964,8.8195,629,1140,IISPH,5,2500,34,0.03,0.0029302342,0.003938651,Extrapolation,10,1,1,1
115,20997,8.1245,630,1140,IISPH,5,2500,31,0.03,0.0029208758,0.0035590485,Extrapolation,10,1,1,1
116,21031,8.6498,631,1140,IISPH,5,2500,32,0.03,0.0029199163,0.0032009762,Extrapolation,10,1,1,1
117,21064,5.9461,632,1140,IISPH,5,2500,22,0.03,0.002907668,0.0031121157,Extrapolation,10,1,1,1
118,21097,6.9623,633,1140,IISPH,5,2500,28,0.03,0.002900398,0.0032694421,Extrapolation,10,1,1,1
119,21131,5.7946,634,1140,IISPH,5,2500,22,0.03,0.0029049362,0.0033085875,Extrapolation,10,1,1,1
120,21164,7.2566,635,1140,IISPH,5,2500,31,0.03,0.002898479,0.0027659659,Extrapolation,10,1,1,1
121,21197,8.3994,636,1140,IISPH,5,2500,33,0.03,0.0029122287,0.0027879942,Extrapolation,10,1,1,1
122,21230,8.2934,637,1140,IISPH,5,2500,35,0.03,0.0029011206,0.003221939,Extrapolation,10,1,1,1
123,21264,8.849,638,1140,IISPH,5,2500,31,0.03,0.0029100385,0.0031772307,Extrapolation,10,1,1,1
124,21297,6.9134,639,1140,IISPH,5,2500,24,0.03,0.0028897077,0.0026389062,Extrapolation,10,1,1,1
125,21330,6.7564,640,1140,IISPH,5,2500,29,0.03,0.002896368,0.0026145908,Extrapolation,10,1,1,1
126,21364,7.4843,641,1140,IISPH,5,2500,27,0.03,0.0028914688,0.0027538834,Extrapolation,10,1,1,1
127,21397,6.9309,642,1140,IISPH,5,2500,25,0.03,0.0028924958,0.002515215,Extrapolation,10,1,1,1
128,21430,10.2018,643,1140,IISPH,5,2500,40,0.03,0.0028915703,0.0026152437,Extrapolation,10,1,1,1
129,21464,6.6065,644,1140,IISPH,5,2500,26,0.03,0.0028984225,0.0030877532,Extrapolation,10,1,1,1
130,21497,12.1576,645,1140,IISPH,5,2500,50,0.03,0.0028850567,0.0024526294,Extrapolation,10,1,1,1
131,21530,6.845,646,1140,IISPH,5,2500,27,0.03,0.002892688,0.0025322149,Extrapolation,10,1,1,1
132,21563,9.4808,647,1140,IISPH,5,2500,38,0.03,0.002888082,0.0025348621,Extrapolation,10,1,1,1
133,21597,6.8051,648,1140,IISPH,5,2500,27,0.03,0.002891209,0.0024832964,Extrapolation,10,1,1,1
134,21630,2.8202,649,1140,IISPH,5,2500,3,0.03,0.002528264,0.0022670052,Extrapolation,10,1,1,1
135,21663,10.0101,650,1140,IISPH,5,2500,40,0.03,0.0028929927,0.0022421263,Extrapolation,10,1,1,1
136,21697,7.3022,651,1140,IISPH,5,2500,28,0.03,0.0028859486,0.0024420104,Extrapolation,10,1,1,1
137,21730,9.9268,652,1140,IISPH,5,2500,36,0.03,0.0028729888,0.002618613,Extrapolation,10,1,1,1
138,21763,1.9932,653,1140,IISPH,5,2500,3,0.03,0.0025450168,0.0019310092,Extrapolation,10,1,1,1
139,21797,2.3166,654,1140,IISPH,5,2500,3,0.03,0.0028669497,0.0023423617,Extrapolation,10,1,1,1
140,21830,3.015,655,1140,IISPH,5,2500,7,0.03,0.0028742985,0.0021985131,Extrapolation,10,1,1,1
141,21863,2.5167,656,1140,IISPH,5,2500,3,0.03,0.0028628742,0.0023503064,Extrapolation,10,1,1,1
