sample,simulationStep,simulationStepsTime,neighborSearchTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
0,7346,5.6824,1.3946,301,6838,IISPH,5,2000,18,0.015,0.0014951089,0.0006344012,Zero,5,1,1,1
1,7412,6.3268,2.4189,302,6838,IISPH,5,2000,15,0.015,0.0014941284,0.00060671126,Zero,5,1,1,1
2,7479,5.888,1.3826,303,6838,IISPH,5,2000,15,0.015,0.001494309,0.000651601,Zero,5,1,1,1
3,7546,5.5203,1.4164,304,6838,IISPH,5,2000,17,0.015,0.0014943993,0.0006079582,Zero,5,1,1,1
4,7612,5.4661,1.4941,305,6838,IISPH,5,2000,16,0.015,0.0014946702,0.00058054464,Zero,5,1,1,1
5,7679,5.6016,1.4041,306,6838,IISPH,5,2000,15,0.015,0.0014937413,0.0005309285,Zero,5,1,1,1
6,7745,5.7118,1.4562,307,6838,IISPH,5,2000,17,0.015,0.0014941929,0.00049525884,Zero,5,1,1,1
7,7812,6.8871,2.5676,308,6838,IISPH,5,2000,17,0.015,0.0014945284,0.00051453843,Zero,5,1,1,1
8,7879,6.3906,1.398,309,6838,IISPH,5,2000,20,0.015,0.0014949541,0.0005059274,Zero,5,1,1,1
9,7945,6.1405,1.5688,310,6838,IISPH,5,2000,19,0.015,0.0014939607,0.0005554718,Zero,5,1,1,1
10,8012,5.4488,1.4083,311,6838,IISPH,5,2000,16,0.015,0.0014933414,0.00052454707,Zero,5,1,1,1
11,8078,5.836,1.3885,312,6838,IISPH,5,2000,17,0.015,0.0014937801,0.00053932867,Zero,5,1,1,1
12,8145,5.8279,1.5603,313,6838,IISPH,5,2000,16,0.015,0.0014931866,0.00045989905,Zero,5,1,1,1
13,8212,5.3862,1.3899,314,6838,IISPH,5,2000,16,0.015,0.0014938059,0.0004468236,Zero,5,1,1,1
14,8278,6.0501,2.1924,315,6838,IISPH,5,2000,15,0.015,0.0014921675,0.00044383862,Zero,5,1,1,1
15,8345,5.9286,1.3977,316,6838,IISPH,5,2000,17,0.015,0.0014937543,0.0005162513,Zero,5,1,1,1
16,8411,6.0178,2.0931,317,6838,IISPH,5,2000,16,0.015,0.0014920642,0.0006144001,Zero,5,1,1,1
17,8478,5.8087,1.5338,318,6838,IISPH,5,2000,16,0.015,0.001494309,0.000520702,Zero,5,1,1,1
18,8545,5.8916,1.5663,319,6838,IISPH,5,2000,16,0.015,0.0014930447,0.00043524883,Zero,5,1,1,1
19,8611,5.4536,1.4307,320,6838,IISPH,5,2000,16,0.015,0.0014923093,0.000476712,Zero,5,1,1,1
20,8678,5.5878,1.4047,321,6838,IISPH,5,2000,16,0.015,0.001492748,0.0004192929,Zero,5,1,1,1
21,8744,5.857,1.5768,322,6838,IISPH,5,2000,17,0.015,0.00149249,0.00050322484,Zero,5,1,1,1
22,8811,6.8595,2.1555,323,6838,IISPH,5,2000,17,0.015,0.0014937285,0.00046222852,Zero,5,1,1,1
23,8878,5.904,1.499,324,6838,IISPH,5,2000,16,0.015,0.0014930833,0.00042785806,Zero,5,1,1,1
24,8944,6.0916,2.0664,325,6838,IISPH,5,2000,16,0.015,0.0014929544,0.00039766854,Zero,5,1,1,1
25,9011,6.0091,1.642,326,6838,IISPH,5,2000,17,0.015,0.0014936383,0.00045682167,Zero,5,1,1,1
26,9077,6.6412,2.2123,327,6838,IISPH,5,2000,18,0.015,0.0014939349,0.00041169353,Zero,5,1,1,1
27,9144,5.72,1.4074,328,6838,IISPH,5,2000,18,0.015,0.0014936511,0.0003347907,Zero,5,1,1,1
28,9211,5.7116,1.5033,329,6838,IISPH,5,2000,16,0.015,0.0014892259,0.0003614345,Zero,5,1,1,1
29,9277,5.6695,1.5159,330,6838,IISPH,5,2000,15,0.015,0.001491703,0.0004312027,Zero,5,1,1,1
30,9344,5.3542,1.4241,331,6838,IISPH,5,2000,14,0.015,0.0014928511,0.0004596277,Zero,5,1,1,1
31,9411,6.2562,1.3983,332,6838,IISPH,5,2000,15,0.015,0.0014937026,0.00049766205,Zero,5,1,1,1
32,9477,5.7392,1.4838,333,6838,IISPH,5,2000,17,0.015,0.001493264,0.00040349894,Zero,5,1,1,1
33,9544,6.3514,1.4097,334,6838,IISPH,5,2000,18,0.015,0.001492877,0.00030823547,Zero,5,1,1,1
34,9610,6.6658,2.1786,335,6838,IISPH,5,2000,17,0.015,0.0014933543,0.00036743545,Zero,5,1,1,1
35,9677,5.9822,1.3942,336,6838,IISPH,5,2000,17,0.015,0.0014928383,0.0003527719,Zero,5,1,1,1
36,9744,5.9826,1.4175,337,6838,IISPH,5,2000,16,0.015,0.0014928511,0.00035774388,Zero,5,1,1,1
37,9810,5.7219,1.5096,338,6838,IISPH,5,2000,16,0.015,0.0014933673,0.0003548948,Zero,5,1,1,1
38,9877,5.7286,1.4248,339,6838,IISPH,5,2000,16,0.015,0.0014930833,0.0003235492,Zero,5,1,1,1
