sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
0,611,2.1738,61,404,IISPH,30,10000,11,0.1,0.008004132,0.0018707684,Zero,30,1,1,1
1,621,1.9696,62,404,IISPH,30,10000,11,0.1,0.008000407,0.0018951923,Zero,30,1,1,1
2,631,2.6379,63,404,IISPH,30,10000,11,0.1,0.007989989,0.0019163231,Zero,30,1,1,1
3,641,2.2757,64,404,IISPH,30,10000,11,0.1,0.007983504,0.0019346823,Zero,30,1,1,1
4,651,1.9817,65,404,IISPH,30,10000,11,0.1,0.007975984,0.0019484627,Zero,30,1,1,1
5,661,2.4355,66,404,IISPH,30,10000,11,0.1,0.007963081,0.001959689,Zero,30,1,1,1
6,671,2.0894,67,404,IISPH,30,10000,11,0.1,0.007955426,0.0019667929,Zero,30,1,1,1
7,681,2.0287,68,404,IISPH,30,10000,11,0.1,0.007947493,0.0019707272,Zero,30,1,1,1
8,691,1.9348,69,404,IISPH,30,10000,11,0.1,0.007943837,0.0019716239,Zero,30,1,1,1
9,701,2.3735,70,404,IISPH,30,10000,11,0.1,0.00794094,0.001969906,Zero,30,1,1,1
10,711,2.0032,71,404,IISPH,30,10000,11,0.1,0.007931211,0.0019665277,Zero,30,1,1,1
11,721,2.1382,72,404,IISPH,30,10000,11,0.1,0.007938733,0.0019607593,Zero,30,1,1,1
12,731,2.3468,73,404,IISPH,30,10000,11,0.1,0.007936249,0.001954744,Zero,30,1,1,1
13,741,2.2434,74,404,IISPH,30,10000,11,0.1,0.007932041,0.0019482609,Zero,30,1,1,1
14,751,2.2022,75,404,IISPH,30,10000,11,0.1,0.007940662,0.0019411956,Zero,30,1,1,1
15,761,2.1991,76,404,IISPH,30,10000,11,0.1,0.00793204,0.001935342,Zero,30,1,1,1
16,771,2.3438,77,404,IISPH,30,10000,11,0.1,0.007950458,0.0019293114,Zero,30,1,1,1
17,781,1.9636,78,404,IISPH,30,10000,11,0.1,0.007953148,0.001924987,Zero,30,1,1,1
18,791,2.2332,79,404,IISPH,30,10000,11,0.1,0.007956184,0.0019221705,Zero,30,1,1,1
19,801,2.2266,80,404,IISPH,30,10000,11,0.1,0.00797419,0.001919838,Zero,30,1,1,1
20,811,2.3435,81,404,IISPH,30,10000,11,0.1,0.008039867,0.001739831,Zero,30,1,1,1
21,821,2.3787,82,404,IISPH,30,10000,11,0.1,0.008013444,0.0017140132,Zero,30,1,1,1
22,831,2.505,83,404,IISPH,30,10000,11,0.1,0.008035107,0.0016798696,Zero,30,1,1,1
23,841,2.1284,84,404,IISPH,30,10000,11,0.1,0.008047041,0.0016746769,Zero,30,1,1,1
24,851,2.3619,85,404,IISPH,30,10000,11,0.1,0.008075049,0.0016629895,Zero,30,1,1,1
25,861,2.2185,86,404,IISPH,30,10000,11,0.1,0.008093472,0.0017362678,Zero,30,1,1,1
26,871,2.3993,87,404,IISPH,30,10000,10,0.1,0.007927555,0.0017926416,Zero,30,1,1,1
27,881,2.2215,88,404,IISPH,30,10000,11,0.1,0.008086431,0.0019434618,Zero,30,1,1,1
28,891,2.2911,89,404,IISPH,30,10000,11,0.1,0.00812665,0.0020053869,Zero,30,1,1,1
29,901,2.0005,90,404,IISPH,30,10000,11,0.1,0.00813838,0.0020581011,Zero,30,1,1,1
30,911,2.3855,91,404,IISPH,30,10000,11,0.1,0.0081214765,0.0020841197,Zero,30,1,1,1
31,921,1.9723,92,404,IISPH,30,10000,11,0.1,0.008092157,0.0016251041,Zero,30,1,1,1
32,931,2.5012,93,404,IISPH,30,10000,10,0.1,0.0079608755,0.0016534844,Zero,30,1,1,1
33,941,2.5415,94,404,IISPH,30,10000,11,0.1,0.008048146,0.0016487057,Zero,30,1,1,1
34,951,2.1527,95,404,IISPH,30,10000,11,0.1,0.008107473,0.0016124909,Zero,30,1,1,1
35,961,2.5636,96,404,IISPH,30,10000,11,0.1,0.0081215445,0.0016743405,Zero,30,1,1,1
36,971,1.9602,97,404,IISPH,30,10000,11,0.1,0.0081610065,0.0015704976,Zero,30,1,1,1
37,981,2.2753,98,404,IISPH,30,10000,11,0.1,0.008159421,0.0015921028,Zero,30,1,1,1
38,991,2.1285,99,404,IISPH,30,10000,10,0.1,0.00802124,0.0016317385,Zero,30,1,1,1
39,1001,2.0393,100,404,IISPH,30,10000,11,0.1,0.008163561,0.0015618135,Zero,30,1,1,1
40,1011,1.837,101,404,IISPH,30,10000,11,0.1,0.008159351,0.0016088542,Zero,30,1,1,1
41,1021,2.3131,102,404,IISPH,30,10000,11,0.1,0.008160178,0.0016556351,Zero,30,1,1,1
42,1031,2.3519,103,404,IISPH,30,10000,11,0.1,0.008196745,0.0016951712,Zero,30,1,1,1
43,1041,2.4078,104,404,IISPH,30,10000,11,0.1,0.008135066,0.0017187197,Zero,30,1,1,1
44,1051,2.1677,105,404,IISPH,30,10000,12,0.1,0.008203917,0.0017406937,Zero,30,1,1,1
45,1061,2.03,106,404,IISPH,30,10000,11,0.1,0.008101815,0.0017485017,Zero,30,1,1,1
46,1071,1.9764,107,404,IISPH,30,10000,11,0.1,0.0081568,0.0017555243,Zero,30,1,1,1
47,1081,2.3068,108,404,IISPH,30,10000,11,0.1,0.008096231,0.0017326511,Zero,30,1,1,1
48,1091,2.205,109,404,IISPH,30,10000,11,0.1,0.008137759,0.001701156,Zero,30,1,1,1
49,1101,2.0058,110,404,IISPH,30,10000,12,0.1,0.008273665,0.0016525773,Zero,30,1,1,1
50,1111,2.1678,111,404,IISPH,30,10000,12,0.1,0.008237582,0.0016017195,Zero,30,1,1,1
51,1121,2.0822,112,404,IISPH,30,10000,12,0.1,0.008277046,0.0015725527,Zero,30,1,1,1
52,1131,2.3341,113,404,IISPH,30,10000,12,0.1,0.008229649,0.0017089272,Zero,30,1,1,1
53,1141,2.4305,114,404,IISPH,30,10000,12,0.1,0.008297808,0.0018564,Zero,30,1,1,1
54,1151,1.9857,115,404,IISPH,30,10000,12,0.1,0.008317744,0.0020110193,Zero,30,1,1,1
55,1161,2.3846,116,404,IISPH,30,10000,12,0.1,0.008295947,0.0021282334,Zero,30,1,1,1
56,1171,2.1424,117,404,IISPH,30,10000,12,0.1,0.008338028,0.0022158052,Zero,30,1,1,1
57,1181,2.1741,118,404,IISPH,30,10000,12,0.1,0.008363622,0.0022483543,Zero,30,1,1,1
58,1191,2.0965,119,404,IISPH,30,10000,13,0.1,0.008354999,0.001637491,Zero,30,1,1,1
