sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
0,11400,2.2859,114,1650,SESPH,40,50000,0,0.01,0.11470027,0.0006524927,Mirroring,40,1,1,1
1,11500,2.7915,115,1650,SESPH,40,50000,0,0.01,0.10398302,0.0007089896,Mirroring,40,1,1,1
2,11600,2.2097,116,1650,SESPH,40,50000,0,0.01,0.086225666,0.00080486096,Mirroring,40,1,1,1
3,11700,2.2312,117,1650,SESPH,40,50000,0,0.01,0.06679692,0.00070699945,Mirroring,40,1,1,1
4,11800,3.0105,118,1650,SESPH,40,50000,0,0.01,0.058768872,0.00056491414,Mirroring,40,1,1,1
5,11900,2.4512,119,1650,SESPH,40,50000,0,0.01,0.061859902,0.0005682616,Mirroring,40,1,1,1
6,12000,2.4174,120,1650,SESPH,40,50000,0,0.01,0.0744766,0.00068703317,Mirroring,40,1,1,1
7,12100,2.4685,121,1650,SESPH,40,50000,0,0.01,0.090465665,0.0005491385,Mirroring,40,1,1,1
8,12200,3.1443,122,1650,SESPH,40,50000,0,0.01,0.10897781,0.00078093645,Mirroring,40,1,1,1
9,12300,2.6012,123,1650,SESPH,40,50000,0,0.01,0.11299772,0.00061744254,Mirroring,40,1,1,1
10,12400,2.6217,124,1650,SESPH,40,50000,0,0.01,0.109392814,0.0010025912,Mirroring,40,1,1,1
11,12500,2.9685,125,1650,SESPH,40,50000,0,0.01,0.09473903,0.0006787439,Mirroring,40,1,1,1
12,12600,3.2309,126,1650,SESPH,40,50000,0,0.01,0.08048808,0.00073383923,Mirroring,40,1,1,1
13,12700,2.5552,127,1650,SESPH,40,50000,0,0.01,0.06444397,0.0006248014,Mirroring,40,1,1,1
14,12800,2.4226,128,1650,SESPH,40,50000,0,0.01,0.06012348,0.00053589226,Mirroring,40,1,1,1
15,12900,2.3811,129,1650,SESPH,40,50000,0,0.01,0.06600911,0.0005120708,Mirroring,40,1,1,1
16,13000,2.6181,130,1650,SESPH,40,50000,0,0.01,0.08111826,0.0006264196,Mirroring,40,1,1,1
17,13100,2.7763,131,1650,SESPH,40,50000,0,0.01,0.099209286,0.0006714358,Mirroring,40,1,1,1
18,13200,2.3432,132,1650,SESPH,40,50000,0,0.01,0.11087087,0.0009470831,Mirroring,40,1,1,1
19,13300,4.2457,133,1650,SESPH,40,50000,0,0.01,0.112056516,0.000769364,Mirroring,40,1,1,1
20,13400,2.4731,134,1650,SESPH,40,50000,0,0.01,0.10387994,0.0012529254,Mirroring,40,1,1,1
21,13500,3.0099,135,1650,SESPH,40,50000,0,0.01,0.088810824,0.0014190701,Mirroring,40,1,1,1
22,13600,2.5691,136,1650,SESPH,40,50000,0,0.01,0.07266569,0.0013982875,Mirroring,40,1,1,1
23,13700,2.5492,137,1650,SESPH,40,50000,0,0.01,0.061658245,0.0011318872,Mirroring,40,1,1,1
24,13800,2.6875,138,1650,SESPH,40,50000,0,0.01,0.06250585,0.0009508951,Mirroring,40,1,1,1
25,13900,2.7243,139,1650,SESPH,40,50000,0,0.01,0.07115693,0.0007783903,Mirroring,40,1,1,1
26,14000,2.5842,140,1650,SESPH,40,50000,0,0.01,0.08702093,0.0007859461,Mirroring,40,1,1,1
27,14100,2.5052,141,1650,SESPH,40,50000,0,0.01,0.10229873,0.0013620117,Mirroring,40,1,1,1
28,14200,2.68,142,1650,SESPH,40,50000,0,0.01,0.11085314,0.001516502,Mirroring,40,1,1,1
29,14300,2.3986,143,1650,SESPH,40,50000,0,0.01,0.11179298,0.0015592012,Mirroring,40,1,1,1
30,14400,2.5168,144,1650,SESPH,40,50000,0,0.01,0.10094356,0.0015592214,Mirroring,40,1,1,1
31,14501,2.325,145,1650,SESPH,40,50000,0,0.01,0.085818194,0.0014193507,Mirroring,40,1,1,1
32,14601,2.5808,146,1650,SESPH,40,50000,0,0.01,0.07021105,0.0010917113,Mirroring,40,1,1,1
33,14701,2.2092,147,1650,SESPH,40,50000,0,0.01,0.060899656,0.0005458588,Mirroring,40,1,1,1
34,14801,2.332,148,1650,SESPH,40,50000,0,0.01,0.062131427,0.00068490586,Mirroring,40,1,1,1
35,14901,2.4676,149,1650,SESPH,40,50000,0,0.01,0.07300536,0.000742143,Mirroring,40,1,1,1
36,15001,2.9377,150,1650,SESPH,40,50000,0,0.01,0.088552766,0.0009126912,Mirroring,40,1,1,1
37,15101,2.6261,151,1650,SESPH,40,50000,0,0.01,0.10491038,0.0011000363,Mirroring,40,1,1,1
38,15201,2.2588,152,1650,SESPH,40,50000,0,0.01,0.11340321,0.0012515216,Mirroring,40,1,1,1
39,15301,2.5776,153,1650,SESPH,40,50000,0,0.01,0.11156256,0.0013258507,Mirroring,40,1,1,1
40,15401,2.6545,154,1650,SESPH,40,50000,0,0.01,0.0990218,0.0013100463,Mirroring,40,1,1,1
41,15501,2.7917,155,1650,SESPH,40,50000,0,0.01,0.08397415,0.0016651265,Mirroring,40,1,1,1
42,15601,2.4106,156,1650,SESPH,40,50000,0,0.01,0.06920924,0.0015371331,Mirroring,40,1,1,1
43,15701,2.5193,157,1650,SESPH,40,50000,0,0.01,0.060594082,0.0012194179,Mirroring,40,1,1,1
44,15801,2.2844,158,1650,SESPH,40,50000,0,0.01,0.06080079,0.0007684543,Mirroring,40,1,1,1
45,15901,2.4113,159,1650,SESPH,40,50000,0,0.01,0.07144173,0.0013221946,Mirroring,40,1,1,1
46,16001,2.3343,160,1650,SESPH,40,50000,0,0.01,0.08818206,0.0011502572,Mirroring,40,1,1,1
47,16101,2.5341,161,1650,SESPH,40,50000,0,0.01,0.10560663,0.0014117176,Mirroring,40,1,1,1
48,16201,2.6376,162,1650,SESPH,40,50000,0,0.01,0.11422912,0.001343319,Mirroring,40,1,1,1
49,16302,3.1188,163,1650,SESPH,40,50000,0,0.01,0.11418385,0.0008959322,Mirroring,40,1,1,1
50,16402,2.3604,164,1650,SESPH,40,50000,0,0.01,0.100585364,0.0010542567,Mirroring,40,1,1,1
51,16502,3.2124,165,1650,SESPH,40,50000,0,0.01,0.07995349,0.00071207684,Mirroring,40,1,1,1
52,16602,2.4868,166,1650,SESPH,40,50000,0,0.01,0.06406008,0.0005292311,Mirroring,40,1,1,1
53,16702,2.9726,167,1650,SESPH,40,50000,0,0.01,0.057457503,0.00039814165,Mirroring,40,1,1,1
54,16802,2.7321,168,1650,SESPH,40,50000,0,0.01,0.061198626,0.0005483006,Mirroring,40,1,1,1
55,16902,2.6011,169,1650,SESPH,40,50000,0,0.01,0.07649154,0.00046597252,Mirroring,40,1,1,1
56,17002,2.7812,170,1650,SESPH,40,50000,0,0.01,0.09675838,0.0005291278,Mirroring,40,1,1,1
57,17102,2.9002,171,1650,SESPH,40,50000,0,0.01,0.11141006,0.00043525093,Mirroring,40,1,1,1
58,17202,2.2591,172,1650,SESPH,40,50000,0,0.01,0.114665926,0.0004285355,Mirroring,40,1,1,1
59,17302,2.3172,173,1650,SESPH,40,50000,0,0.01,0.10848254,0.00043713543,Mirroring,40,1,1,1
60,17402,2.9418,174,1650,SESPH,40,50000,0,0.01,0.09403622,0.00053099607,Mirroring,40,1,1,1
61,17502,2.6687,175,1650,SESPH,40,50000,0,0.01,0.074280724,0.000513811,Mirroring,40,1,1,1
62,17602,2.5773,176,1650,SESPH,40,50000,0,0.01,0.061293874,0.000384022,Mirroring,40,1,1,1
63,17702,3.0161,177,1650,SESPH,40,50000,0,0.01,0.058715764,0.0003400663,Mirroring,40,1,1,1
64,17802,2.639,178,1650,SESPH,40,50000,0,0.01,0.066255555,0.00037937379,Mirroring,40,1,1,1
65,17902,2.277,179,1650,SESPH,40,50000,0,0.01,0.083466865,0.00047360128,Mirroring,40,1,1,1
66,18002,2.317,180,1650,SESPH,40,50000,0,0.01,0.10187801,0.00044767137,Mirroring,40,1,1,1
67,18103,2.294,181,1650,SESPH,40,50000,0,0.01,0.11335695,0.00036065088,Mirroring,40,1,1,1
68,18203,2.3569,182,1650,SESPH,40,50000,0,0.01,0.11268128,0.00031634545,Mirroring,40,1,1,1
69,18303,2.4609,183,1650,SESPH,40,50000,0,0.01,0.10333748,0.00036663897,Mirroring,40,1,1,1
70,18403,2.4769,184,1650,SESPH,40,50000,0,0.01,0.085999414,0.0004106239,Mirroring,40,1,1,1
71,18503,2.1561,185,1650,SESPH,40,50000,0,0.01,0.0683875,0.00035801003,Mirroring,40,1,1,1
72,18603,2.9191,186,1650,SESPH,40,50000,0,0.01,0.0605628,0.00028019652,Mirroring,40,1,1,1
73,18703,2.3049,187,1650,SESPH,40,50000,0,0.01,0.062055476,0.00038000266,Mirroring,40,1,1,1
74,18803,3.2614,188,1650,SESPH,40,50000,0,0.01,0.07250501,0.00045945687,Mirroring,40,1,1,1
75,18903,2.2005,189,1650,SESPH,40,50000,0,0.01,0.09132123,0.00047099902,Mirroring,40,1,1,1
76,19003,2.7452,190,1650,SESPH,40,50000,0,0.01,0.10703352,0.00043774597,Mirroring,40,1,1,1
77,19103,2.2385,191,1650,SESPH,40,45000,0,0.01,0.11324558,0.00046971327,Mirroring,40,1,1,1
78,19203,3.3331,192,1650,SESPH,40,45000,0,0.01,0.11185338,0.00029678422,Mirroring,40,1,1,1
79,19303,3.2679,193,1650,SESPH,40,45000,0,0.01,0.108112514,0.00061685283,Mirroring,40,1,1,1
80,19403,2.3686,194,1650,SESPH,40,45000,0,0.01,0.098133944,0.00027579739,Mirroring,40,1,1,1
81,19503,2.4725,195,1650,SESPH,40,45000,0,0.01,0.08577149,0.0010050462,Mirroring,40,1,1,1
82,19603,3.1164,196,1650,SESPH,40,45000,0,0.01,0.07825118,0.00052046386,Mirroring,40,1,1,1
83,19703,2.915,197,1650,SESPH,40,45000,0,0.01,0.08142019,0.00084046554,Mirroring,40,1,1,1
84,19803,3.3048,198,1650,SESPH,40,45000,0,0.01,0.08410638,0.0004564655,Mirroring,40,1,1,1
85,19904,2.3374,199,1650,SESPH,40,45000,0,0.01,0.09668594,0.0011228458,Mirroring,40,1,1,1
86,20004,3.5124,200,1650,SESPH,40,45000,0,0.01,0.10290505,0.0007978121,Mirroring,40,1,1,1
87,20104,2.4968,201,1650,SESPH,40,45000,0,0.01,0.113358214,0.0011587811,Mirroring,40,1,1,1
88,20204,2.5273,202,1650,SESPH,40,45000,0,0.01,0.110327594,0.00092858385,Mirroring,40,1,1,1
89,20304,2.5003,203,1650,SESPH,40,45000,0,0.01,0.110307924,0.001705299,Mirroring,40,1,1,1
90,20404,2.7945,204,1650,SESPH,40,45000,0,0.01,0.09314829,0.0015981158,Mirroring,40,1,1,1
91,20504,3.1615,205,1650,SESPH,40,45000,0,0.01,0.08885046,0.0015575537,Mirroring,40,1,1,1
92,20604,2.7965,206,1650,SESPH,40,45000,0,0.01,0.079382405,0.0015178379,Mirroring,40,1,1,1
