sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
0,7939,4.6429,375,932,IISPH,30,10000,6,0.01,0.0009950378,0.00014372103,Zero,30,1,1,1
1,8039,4.737,376,932,IISPH,30,10000,7,0.01,0.0009958794,0.00014334022,Zero,30,1,1,1
2,8139,4.7751,377,932,IISPH,30,10000,6,0.01,0.0009956876,0.00014202202,Zero,30,1,1,1
3,8239,4.8885,378,932,IISPH,30,10000,7,0.01,0.0009959084,0.00013989126,Zero,30,1,1,1
4,8338,4.5172,379,932,IISPH,30,10000,6,0.01,0.0009951992,0.00013685407,Zero,30,1,1,1
5,8438,3.0356,380,932,IISPH,30,10000,3,0.01,0.000993899,0.00013318082,Zero,30,1,1,1
6,8538,4.392,381,932,IISPH,30,10000,4,0.01,0.0009947569,0.00012919196,Zero,30,1,1,1
7,8638,3.7732,382,932,IISPH,30,10000,5,0.01,0.0009955539,0.00012521834,Zero,30,1,1,1
8,8738,4.4456,383,932,IISPH,30,10000,6,0.01,0.0009958206,0.00012080375,Zero,30,1,1,1
9,8838,3.2069,384,932,IISPH,30,10000,3,0.01,0.0009956282,0.00011631753,Zero,30,1,1,1
10,8938,4.9468,385,932,IISPH,30,10000,7,0.01,0.0009959532,0.000111465684,Zero,30,1,1,1
11,9038,4.4439,386,932,IISPH,30,10000,6,0.01,0.0009958053,0.00010687,Zero,30,1,1,1
12,9138,4.3541,387,932,IISPH,30,10000,5,0.01,0.0009962198,0.00010478838,Zero,30,1,1,1
13,9238,4.6473,388,932,IISPH,30,10000,6,0.01,0.0009952884,0.00010289399,Zero,30,1,1,1
14,9338,5.0445,389,932,IISPH,30,10000,7,0.01,0.0009962051,0.000100491605,Zero,30,1,1,1
15,9437,5.5938,390,932,IISPH,30,10000,8,0.01,0.0009964561,0.00010068314,Zero,30,1,1,1
16,9537,3.5184,391,932,IISPH,30,10000,3,0.01,0.0009949924,0.00010039155,Zero,30,1,1,1
17,9637,4.8666,392,932,IISPH,30,10000,7,0.01,0.0009964703,0.000101114165,Zero,30,1,1,1
18,9737,4.1585,393,932,IISPH,30,10000,5,0.01,0.0009953179,9.9503864E-05,Zero,30,1,1,1
19,9837,5.3947,394,932,IISPH,30,10000,8,0.01,0.0009963379,9.803844E-05,Zero,30,1,1,1
20,9937,4.4189,395,932,IISPH,30,10000,5,0.01,0.0009958356,9.517678E-05,Zero,30,1,1,1
